geo_fips,statefips,countyfips,tractfips,blockgroupfips,totalpopest2015_19acs,yearofstartdate,underage1popest2015_19acs,age0to17popest2015_19acs,unique0to17withed_visit,unique0to17withed_visitper100,numbered_visitsage0to17,ed_visitsper100age0to17,numberlowacuityed_visitsage0to17,lowacuityed_visitsper100age0to17,numberasthmarelateded_visits,asthmarelateded_visitsper100age0to17,numbered_visitsbychildrenunder1yearold,numberofinjuryrelatedvisits,injuryrelatededvisitsper100age0to17,numberacuterespiratorytractinfectionrelateded_visitsage0to17,acuterespiratorytractinfectionrelateded_visitsper100age0to17
420031413002,42,3,141300,2,1535,2017.0,17.0,301,37.0,12.3,43.0,14.3,16.0,5.3,2.0,0.7,10.0,1.0,0.3,4.0,1.3
420031413003,42,3,141300,3,2237,2016.0,20.8,145,27.0,18.6,31.0,21.4,11.0,7.6,2.0,1.4,6.0,1.0,0.7,7.0,4.8
420031413003,42,3,141300,3,2237,2017.0,20.8,145,27.0,18.6,34.0,23.4,21.0,14.5,2.0,1.4,8.0,3.0,2.1,5.0,3.4
420031413003,42,3,141300,3,2237,2018.0,20.8,145,28.0,19.3,36.0,24.8,22.0,15.2,3.0,2.1,12.0,1.0,0.7,6.0,4.1
420031414001,42,3,141400,1,771,2018.0,1.2,192,28.0,14.6,40.0,20.8,16.0,8.3,3.0,1.6,2.0,1.0,0.5,5.0,2.6
420031414002,42,3,141400,2,443,2016.0,5.0,32,23.0,71.9,30.0,93.8,12.0,37.5,7.0,21.9,10.0,2.0,6.3,3.0,9.4
420031414003,42,3,141400,3,1252,2017.0,15.0,188,24.0,12.8,32.0,17.0,15.0,8.0,2.0,1.1,5.0,2.0,1.1,2.0,1.1
420031414004,42,3,141400,4,1737,2017.0,23.0,218,46.0,21.1,60.0,27.5,32.0,14.7,3.0,1.4,4.0,1.0,0.5,6.0,2.8
420031414004,42,3,141400,4,1737,2019.0,23.0,218,61.0,28.0,77.0,35.3,40.0,18.3,13.0,6.0,11.0,1.0,0.5,10.0,4.6
420031414005,42,3,141400,5,940,2016.0,14.8,110,17.0,15.5,24.0,21.8,7.0,6.4,8.0,7.3,7.0,1.0,0.9,5.0,4.5
420031516001,42,3,151600,1,1221,2016.0,8.4,232,42.0,18.1,60.0,25.9,36.0,15.5,7.0,3.0,6.0,2.0,0.9,12.0,5.2
420031516001,42,3,151600,1,1221,2018.0,8.4,232,44.0,19.0,67.0,28.9,37.0,15.9,6.0,2.6,12.0,3.0,1.3,5.0,2.2
420031516001,42,3,151600,1,1221,2019.0,8.4,232,44.0,19.0,78.0,33.6,32.0,13.8,12.0,5.2,13.0,2.0,0.9,6.0,2.6
420031516002,42,3,151600,2,698,2019.0,6.0,95,16.0,16.8,28.0,29.5,12.0,12.6,1.0,1.1,2.0,1.0,1.1,4.0,4.2
420031516003,42,3,151600,3,657,2016.0,12.8,108,20.0,18.5,28.0,25.9,13.0,12.0,4.0,3.7,6.0,1.0,0.9,4.0,3.7
42003103003,42,3,10300,3,319,2019.0,6.0,53,9.0,17.0,17.0,32.1,4.0,7.5,3.0,5.7,2.0,2.0,3.8,1.0,1.9
42003103004,42,3,10300,4,409,2018.0,11.8,69,24.0,34.8,40.0,58.0,22.0,31.9,10.0,14.5,12.0,1.0,1.4,9.0,13.0
42003103004,42,3,10300,4,409,2019.0,11.8,69,28.0,40.6,71.0,102.9,38.0,55.1,15.0,21.7,17.0,3.0,4.3,14.0,20.3
42003201001,42,3,20100,1,1826,2018.0,0.0,38,15.0,39.5,27.0,71.1,11.0,28.9,7.0,18.4,2.0,1.0,2.6,2.0,5.3
42003203001,42,3,20300,1,1212,2018.0,7.2,41,19.0,46.3,29.0,70.7,12.0,29.3,8.0,19.5,8.0,1.0,2.4,5.0,12.2
42003203001,42,3,20300,1,1212,2019.0,7.2,41,17.0,41.5,29.0,70.7,11.0,26.8,6.0,14.6,7.0,3.0,7.3,3.0,7.3
42003305001,42,3,30500,1,1269,2017.0,5.8,203,76.0,37.4,125.0,61.6,68.0,33.5,42.0,20.7,7.0,2.0,1.0,22.0,10.8
42003305001,42,3,30500,1,1269,2018.0,5.8,203,95.0,46.8,159.0,78.3,93.0,45.8,33.0,16.3,22.0,2.0,1.0,34.0,16.7
